,news_id,title,content,dateline,provider,category,images
0,01100401.20201018165902001,100㎞ 멀리서 찾아와 범행…종교 극단주의 테러에 유럽 충격,"이슬람교 창시자 무함마드를 풍자한 만평을 수업에서 활용했다는 이유로 40대 프랑스 남성 교사가 체첸 출신의 무슬림 난민 청년에게 참수당했다. 2015년 같은 이유로 이슬람 극단주의자들이 주간지 ‘샤를리 에브도’의 사무실을 습격해 12명이 숨진 사건 이후 5년 만에 또다시 종교를 앞세운 극단주의 테러가 발생해 전 유럽이 공포와 충격에 빠졌다. 
 
 BBC 등에 따르면 16일 오후 파리에서 북서쪽으로 약 30km 떨어진 콩플랑 생토노린 도심에서 중등 역사교사 새뮤얼 프티 씨(47)가 수업을 마치고 귀가하던 중 흉기로 목이 잘려 살해당했다. 범인 압둘라흐 모조로프(18)는 학교에서부터 프티 씨를 쫓아와 살해했다. 그는 트위터에 프티 씨의 머리 사진과 함께 “알라를 받들어 무함마드를 조롱한 에마뉘엘 마크롱 대통령의 강아지를 처단했다”는 글을 올렸다. 
 
 모조로프는 현장에서 출동한 경찰과 대치하던 중 경찰 총에 숨졌다. 그는 저항 과정에서 ‘신은 위대하다’는 뜻의 ‘알라후 아크바르’를 외쳤다. 러시아 모스크바 출신인 그는 유년 시절 난민인 부모와 함께 프랑스로 건너왔다. 체첸인의 대부분은 수니파 무슬림이다. 
 
 프티 씨는 이달 5일 언론 자유에 관한 수업을 진행하면서 샤를리 에브도 사건을 언급했다. 그는 무함마드 만평을 보여주기 전 무슬림 학생들에게 “불쾌하면 교실을 나가도 된다”고 밝혔다. 무슬림이 무함마드에 관한 어떤 묘사도 불경 및 모욕으로 여긴다는 점을 감안한 배려였다. 그런데도 한 무슬림 여학생이 남아서 수업 모습을 촬영했고 부모에게 알렸다. 
 
 이 여학생의 부친은 거세게 항의하며 프티 씨의 해임을 요구했다. 그는 이틀 후 소셜미디어에 프티씨를 ‘폭력배(voyou)’라고 지칭하며 신상을 낱낱이 공개했다. 무함마드가 모욕을 당했으니 이슬람 신자라면 학교에 가서 항의해야 한다고도 촉구했다. 이후 프티 씨를 향한 협박 전화가 빗발쳤다. 모조로프 역시 이를 보고 범행을 계획한 것으로 알려졌다. 
 
 모조로프는 사건 당일 하교하는 학생들에게 누가 프티 씨인지를 묻는 치밀함까지 선보인 후 그를 따라갔다. 경범죄로 한차례 기소된 것 외에 폭력 전과가 없고 범행 장소에서 약 100㎞ 떨어진 곳에 살았는데도 극단적 범행을 저질렀다. 
 
 전문가들은 프랑스가 유럽에서 가장 강력한 정교분리(라이시테) 정책을 시행하는데도 무슬림 인구는 가장 많아 양측의 격렬한 충돌이 사실상 예고된 것이나 다름없다고 평가한다. 퓨리서치센터에 따르면 2017년 기준 프랑스 무슬림 인구는 전체 인구의 약 8.8%인 570만 명으로 유럽에서 가장 많다. 과거에는 옛 식민지였던 알제리, 모로코 등 북아프리카 출신 무슬림이 대부분이었지만 2015년 시리아 내전으로 난민의 유럽 유입이 본격화한 후 세계 각국에서 몰려온 난민과 프랑스인의 충돌이 격화하고 있다. 프랑스의 전통 가톨릭 문화와 이슬람 문화의 대립으로 인한 ‘문화전쟁’(Civil War)의 일상화를 우려하는 목소리가 높다. 
 
 2017년 집권한 마크롱 대통령은 학교 내 히잡 착용 금지 등 강력한 정교분리 정책을 추진하며 이슬람계 국민과 갈등을 빚어왔다. 그는 올해 12월 정교분리를 더 강화하는 법안을 내놓겠다고 이미 선언한 상태다. 이날 마크롱 대통령은 “극단주의에 굴하지 않겠다. 우리 모두 연대해 단결해야 한다”며 이번 테러에도 정교분리 정책을 고수할 뜻을 분명히 했다. 
 
 일반적으로 용의자의 이름을 알리지 않는 프랑스 경찰은 이례적으로 모조로프의 신상을 신속히 공개했다. 프랑스 중등교사노조는 17일 “참수 사건에 굴하지 않고 표현의 자유를 계속 가르치겠다”고 선언했다. 프랑스 정부는 21일 파티 씨의 장례를 국장(國葬)으로 치른다. 
 
파리=김윤종 특파원 zozo@donga.com",2020-10-18T07:52:00.000+09:00,동아일보,"['국제>유럽_EU', '국제>아시아', '국제>중동_아프리카']",/01100401/2020/10/18/01100401.20201018165902001.01.jpg
1,01100501.20201018164003005,"전북 경찰, 짝사랑 여성 집 찾아가 폭발물 터뜨린 20대 남성 검거","짝사랑하는 여성의 집에 찾아가 사제 폭발물을 터트린 20대 남성이 경찰에 붙잡혔다.



전북 전주 덕진경찰서는 18일 짝사랑한 여성의 집에 찾아가 사제 폭발물을 터트린 혐의(폭발물사용)로 A(27) 씨를 붙잡아 조사하고 있다.



A 씨는 전날 오후 8시 5분쯤 전주시 덕진구의 한 아파트 계단에서 자신이 직접 제조한 폭발물을 터트린 혐의를 받고 있다.



폭발로 A 씨는 왼손을 다쳐 병원 치료를 받고 있다. 다른 인명피해는 발생하지 않았다.



경찰은 A 씨가 스토킹하던 여성의 집에 찾아가 범행한 것으로 보고 치료를 마치는 대로 범행 경위를 조사할 예정이다.



또 A 씨 집에서 폭발물 제조에 사용한 것으로 추정되는 화학물질과 혼합물 등을 발견, 국립과학수사연구원에 감정을 의뢰했다.



경찰 관계자는 “A 씨가 일방적으로 피해 여성과 교제를 요청했으나 거절당하자 앙심을 품은 것으로 보인다”며 “폭발물 재료 구매와 제조기술 습득과정 등에 대해 수사할 예정”이라고 말했다. 



전주=박팔령 기자 park80@munhwa.com",2020-10-18T16:40:18.000+09:00,문화일보,"['사회>사건_사고', '사회>여성']",
2,08100401.20201018164203001,'선거법 위반' 현역 의원 27명 재판에...21대 총선 선거사범 천여 명 기소,"[앵커]
지난 21대 총선 과정에서 선거법을 위반한 현역 의원 27명이 재판에 넘겨진 것으로 집계됐습니다.

기소된 선거사범은 모두 천백여 명으로, 코로나19 여파로 지난 20대 총선보다 입건자 수와 기소 건수가 모두 줄었습니다.

강희경 기자가 보도합니다.

[기자]
21대 총선의 공직선거법 위반 공소시효가 지난 15일 자정 만료됐습니다.

검찰이 선거사범 현황을 집계한 결과 21대 국회 당선인 가운데 149명이 입건됐고, 이 가운데 27명이 재판에 넘겨진 것으로 확인됐습니다.

20대 총선과 비교하면 6명 줄었습니다.

여당인 더불어민주당에서는 정정순·이규민 의원 등 9명이 재판에 넘겨졌고, 국민의힘에서는 조수진·이채익 의원 등 11명이 기소돼 가장 많았습니다.

정의당은 이은주 의원이, 열린민주당에선 최강욱 의원이 기소됐고 무소속에서는 이상직·김홍걸·윤상현 의원 등 5명이 재판을 받게 됐습니다.

유형별로는 흑색·불법선전이 10명으로 가장 많았고, 선거운동 관련 7명, 금품선거 6명, 당내경선운동 위반 4명 순이었습니다.

당선인을 포함한 전체 선거사범 수치를 보면 2천874명이 입건돼 천154명이 기소됐습니다.

이 가운데 36명이 구속됐습니다.

모두 20대 총선보다 낮은 수치로, 검찰은 코로나19 영향으로 선거운동 과정에서 대면 접촉이 감소한 데 따른 것으로 분석했습니다.

공직선거법상 선출직 공무원은 징역형이나 벌금 100만 원 이상을, 배우자나 선거사무장, 회계책임자 등은 징역형이나 벌금 300만 원 이상을 확정받으면 당선이 무효가 됩니다.

20대 총선에서는 당선인 33명 가운데 7명이 최종적으로 당선무효형을 확정받았습니다.

검찰은 불법에 상응하는 형이 선고되도록 노력하는 동시에, 공소시효가 정지되거나 단기 공소시효가 적용되지 않는 범죄는 계속 수사해 나갈 방침이라고 강조했습니다.

YTN 강희경[kanghk@ytn.co.kr]입니다.",2020-10-18T16:42:03.000+09:00,YTN,"['정치>국회_정당', '정치>선거']",/08100401/2020/10/18/08100401.20201018164203001.01.jpg
3,02100851.20201018165138001,​‘옥토버 서프라이즈’ 불씨 못 살린 서훈…이대로 美 대선 ‘블랙홀’ 속으로,"서훈 국가안보실장과 마이크 폼페이오 미국 국무장관이 15일(현지시간) 오후 워싱턴DC 국무부에서 면담에 앞서 기념촬영을 하고 있다. [사진=청와대 제공] 
  
 
서훈 청와대 국가안보실장이 안보실장 취임 후 처음으로 미국을 방문했지만, ‘놀랄 만한 성과’를 가져오는 데에는 실패했다. 
 
서 실장을 비롯해 지난달부터 최종건 외교부 1차관, 이도훈 외교부 한반도평화교섭본부장, 김현종 청와대 국가안보실 2차장 등 외교·안보 핵심 인사들이 잇따라 미국을 찾았다. 
 
각자 나름의 성과를 밝히기는 했으나, 11월 초 미국 대선 전에 이른바 ‘옥토버 서프라이즈’를 기대하기에는 역부족이라는 평가가 나왔다. 
 
원론적인 입장이 아니라 유일하게 시일이 박힌 것은 서 실장의 카운터파트인 로버트 오브라이언 미국 백악관 국가안보보좌관의 ‘11월 중 방한 소식’이었다. 이마저도 미국 대선 이후가 될 것으로 보인다. 
 
청와대 핵심 관계자는 18일 춘추관에서 기자들과 만나 구체적인 방한 시점에 대해 “방한 자체가 대선과 관련이 있는 것은 아니다”라면서도 “오브라이언 보좌관이 방한하겠다는 입장을 서 실장에게 밝혔고 여러 사정을 봐야겠지만 미국 대선 이후가 되지 않겠나 싶다”고 말했다. 
 
강민석 청와대 대변인은 이날 춘추관 브리핑에서 서 실장의 “한·미는 앞으로도 소통 노력을 계속해 나가기로 했고 그 노력의 일환으로 서 실장이 오브라이언 보좌관의 방한을 요청했다”면서 “오브라이언 보좌관이 오는 11월 중 방한하겠다는 입장을 밝혔다”고 말했다. 
 
강 대변인은 “이번 서훈 실장의 방미는 강력한 한·미동맹 관계를 쌍방이 재확인했다는 점에서 의미를 찾을 수 있다”면서 “한·미는 앞으로도 한반도의 완전한 비핵화와 항구적 평화구축 달성을 위해 북·미 대화 재개 및 실질적인 진전을 이루기 위한 방안에 대해 심도 있게 논의했다”고 설명했다. 
 
서 실장 본인 스스로도 신종 코로나바이러스(코로나19) 등으로 만족스러운 일정 소화를 못했다는 것을 내비치기도 했다. 
 
그는 전날 인천국제공항에서 방미 성과에 대한 취재진의 질문에 “편안하게 다녀왔다”고 짧게 답했다. 이어 “거기(미국) 코로나19 상황이 좋지 않아서”라고 한 뒤, 서둘러 공항을 빠져나갔다. 
 
서 실장은 이번 방미 기간 오브라이언 보좌관과 마이크 폼페이오 국무장관을 만나 한·미동맹, 북한의 비핵화 및 한반도 정세 등 한·미 간 관심 현안에 대해 협의했다. 
 
청와대 핵심 관계자는 방한이 연기된 폼페이오 국무장관의 방한 일정에 대해 “폼페이오 장관은 아직 여러분께 알려드릴 게 없는 것 같다”면서 “조금 더 상황을 보고 필요하면 공개할 수 있을 때 하겠다”고 말했다. 
 
오히려 오브라이언 보좌관이 북·미협상 재개 시점으로 내년 도쿄 하계올림픽을 거론하며 ‘옥토버 서프라이즈’의 가능성을 더욱 줄였다. 
 
오브라이언 보좌관은 16일(현지시간) 싱크탱크 애스펀 연구소 화상 대담에서 “기회가 있을 수 있다”면서도 시점을 내년 도쿄 올림픽으로 예상했다. 
 
한편, 서 실장은 이번 방미에서 미국 정부 인사들과 만나 방위비 분담금 문제의 조속한 타결을 위해 외교채널을 통한 협의를 계속해 나가기로 했다. 
 
양측은 아울러 최근 북한 열병식 등 한반도 안보 정세에 대한 평가를 공유했고, 북·미대화 재개 및 실질적 진전을 위한 방안도 깊이있게 논의했다고 강 대변인이 설명했다. 
 
강 대변인은 미국 측 인사들이 서 실장에게 코로나19 사태와 관련해선 “한국의 효과적 방역은 국제사회의 모범”이라고 평가했고, 한·미 양측이 백신 및 치료제 개발에 협력하기로 했다고 전했다. 
 
서 실장은 유명희 세계무역기구(WTO) 사무총장 후보에 대해 지지를 요청했고, 미국 측은 이런 요청을 진지하게 검토하기로 했다. 
김봉철 기자 nicebong@ajunews.com",2020-10-18T16:50:39.000+09:00,아주경제,"['정치>외교', '정치>청와대']",/02100851/2020/10/18/02100851.20201018165138001.01.jpg
4,01100201.20201018165612001,총장 지휘 문제라는 법무부 vs 모략이라는 대검,"법무부가 윤석열 검찰총장의 선택적 수사지휘 의혹을 제기하자 대검찰청은 ‘총장에 대한 중상모략’이라고 반박했다. 또다시 공방이 일어난 대목은 윤 총장이 야권 정치인 및 검사 비위에 대해서는 여권과 달리 미온적으로 대처했느냐 하는 부분이다. 대검은 야권 정치인의 비리 의혹은 김봉현 전 스타모빌리티 회장의 진술이 있어 이미 관련 수사가 진행 중이었다고 했다. 또 현직 검사 비위 의혹은 김 전 회장의 자술서가 언론에 보도되기 이전에는 진술과 보고가 없었다고 강조했다. 
 
 18일 국민일보 취재를 종합하면 윤 총장은 애초 검사 출신 야권 정치인의 우리은행 로비 의혹에 대해 김 전 회장이 진술한 내용을 보고 받고 철저한 수사를 주문한 상태였다. 이와 관련해 서울남부지검 수사팀은 상당 기간 수사를 펼쳐 왔고 현재도 진행 중이라는 입장이다. 현역 의원이 아닌 야권 정치인이 우리은행장과 부행장 로비에 동원됐다는 것이 김 전 회장의 주장이었다. 다만 김 전 회장이 본인의 경험으로 설명하지 못하는 부분도 있었던 것으로 전해졌다. 
 
문제가 된 부분은 현직 검사와 수사관 등에 대한 접대 의혹 대목이다. 법무부는 김 전 회장이 검찰 조사 때 이 대목을 진술했지만 관련 의혹 수사가 제대로 이뤄지지 않았다며 윤 총장의 지휘에 의문을 제기했다. 하지만 대검은 “언론 보도를 통해 최초로 인지하게 됐다”는 입장이다. 김 전 회장의 관련 진술이 수뇌부에 보고되지 않았다는 취지다. 서울남부지검도 “지금까지 확인된 바 없는 사실”이라는 입장을 지난 16일에 냈었다. 
 
윤 총장은 서울남부지검에 지난 16일부터 연이틀 “내부 비리부터 우선적으로 밝히라”는 지시를 전달한 것으로 확인됐다. 윤 총장은 16일 지시에도 김 전 회장의 자술서 작성 경위 등이 제대로 파악되지 않자, 다음 날인 17일에도 재차 진상규명을 독려하는 지시를 내렸다. 이때 윤 총장은 주변에 “수사하는 검사가 비리 의혹을 받는 것은 용납될 수 없다”고 말한 것으로 전해졌다. 폭로 직후 김 전 회장의 소환 조사가 이뤄지지 않았던 것이 반복된 지시의 배경이었는데 김 전 회장은 주말 내내 법무부 감찰관실의 조사를 받았던 것으로 이후 드러났다. 
 
윤 총장은 라임 사태와 관련해 금융 범죄의 배후 전모를 밝혀 책임이 있는 관련자 전원을 사법처리한다는 기조였다. 현직 국회의원을 포함한 여권 인사들이 다수 수사선상에 오르고 청와대 행정관 출신에게 실형까지 선고되자 법조계는 라임 사태를 ‘권력형 비리’로 평가하는 분위기였다. 이런 상황에서 폭로된 김 전 회장의 입장은 수사 정당성 자체를 흔드는 일로 주목받을 수밖에 없었다. 거론되는 당사자들이 누군지 확인하려는 모습은 검찰 내부에서도 감지됐다. 
 
법조계는 현직 검사 유착 의혹을 밝히기 위해서는 김 전 회장과 이모 변호사의 대질 조사가 필요하다고 본다. 이 변호사가 ‘현직 검사들이 없었던 술자리’ 자체는 인정한 상황에서 결국 모임 참가자와 접대 현장 관계자들에 대한 조사도 병행될 것으로 보인다. 
 
김 전 회장 자술서에 적힌 설명들의 오류가 지적되기도 한다. 지청에서의 조사 상황이 인터넷으로 대검에 실시간 보고되는 건 실무상 없는 일이고, 변호사로 지목된 문무일 전 검찰총장의 신상팀장은 현재 수도권 지청장으로 근무 중이라는 것이다. 김 전 회장이 여당 정치인과 유흥업소에서 어울렸던 일이 앞서 드러난 만큼 이번 폭로를 마냥 허풍으로 볼 수는 없다는 시각도 대두된다. 
 
허경구 나성원 기자 nine@kmib.co.kr",2020-10-18T16:55:44.000+09:00,국민일보,"['사회>사건_사고', '사회>미디어']",/01100201/2020/10/18/01100201.20201018165612001.01.jpg
5,02100801.20201018165943001,"주호영 ""국민의힘 관련자 연관됐더라도 추상같이 밝혀야""","[아시아경제 박철응 기자] 주호영 국민의당 원내대표는 18일 화상 의원총회에서 라임과 옵티머스 사건과 관련 ""많은 수의 공공기관이 이들 사모펀드에 투자하게 된 계기가, 보이지 않는 손이 무엇인지 국민들은 궁금하다""면서 특검 수용을 재차 촉구했다. 
 
그는 ""그 기관들이 독자적, 경제적 판단으로 한 것으로 보이지 않기에 숨은 권력을 찾아내라는 것""이라며 ""청와대 정무수석, 민정수석실 행정관들, 민주당의 의원들 이름이 사건 곳곳에 오르내린다. 이런데도 권력형 비리가 아닌가""라고 했다. 
 
이어 ""예단과 편협을 가진 추미애 장관이 사실상 지휘하는 이 검찰에는 맡길 수 없다. 조속히 특검을 실시해서 명명백백하게 국민들에게 밝혀야 한다""면서 ""즉각 특검을 받아서 만약에 우리 국민의힘과 관련된 분이 이 사건에 연관됐다 하더라도 추상같이 밝히고 엄정히 처벌할 것을 요구한다""고 했다. 
 
공무원 피살 사건과 관련해서는 ""청와대와 국방부, 해경 등은 자진월북으로 몰아가고 있지만 오늘 나온 현지 어촌 계장 형님 말씀, 혹은 해수부 선박들의 근무형태 그 전에 있던 실족 상황, 작업화가 발견 안된 일, 시간 장소 상황 등이 실족사일 가능성 높다고 의견 모아짐에도 불구하고 자진월북으로 몰아가고 아무런 조치를 취하지 않고 있다""고 했다. 
 
김종인 비상대책위원장은 ""국민의힘이 아직도 변화의 모습이 크게 보이지 않는다는 것이 국민들 생각인 것 같다""면서 ""아무쪼록 내년에 실시되는 재보궐선거를 승리로 이끌어야만 우리가 2022년 대선을 이길 수 있는 점수를 딴다고 생각한다""고 했다. 
 
박철응 기자 hero@asiae.co.kr",2020-10-18T16:59:43.000+09:00,아시아경제,"['정치>청와대', '정치>국회_정당', '정치>선거']",/02100801/2020/10/18/02100801.20201018165943001.01.jpg
6,02100311.20201018165719001,"피살 공무원 형 ""北보다 국내 만행이 더 끔찍… 컨트롤타워 작동은 했나""","북한군에 의해 피격 사망한 해수부 공무원의 친형 이래진씨는 18일 국회에서 국민의힘이 독자 개최한 국민국감에서 청와대를 겨냥해 “국가의 재난 대응 컨트롤 타워가 제대로 작동했느냐. 북한의 만행보다 대한민국 내에서 일어나는 만행이 더 끔찍하다”고 목소리를 높였다. 주호영 국민의힘 원내대표는 이 자리에서 “국민의 생명을 지키기 위해 국가는 제 역할을 했는지 따지는 것이야말로 국회가 국민에게 부여받은 중요한 본분”이라며 “민주당이 상임위별로 자진 출석하겠다는 출석 희망 증인까지 막무가내로 증인 채택을 거부하며 진실에 다가서지 못하게 했다”고 날을 세웠다. 이어 여당을 향해 “이유 여하를 떠나서 증인과 참고인에게 머리 숙여 사죄하라”고 촉구했다. 
 
이씨는 “국가는 단 한 사람의 생명을 구하기 위해 존재하고 국가의 역할이 작동하고 컨트롤 타워가 단계별로 작동했어야 한다”며 “국가의 과실과 직무유기가 동시에 존재했다면 국민은 누구에게 의지해야 하느냐”고 목소리를 높였다. 그는 특히 청와대를 향해 22일 오후6시36분께 공무원을 북측 해역에서 발견했다는 서면 보고를 받았을 때 어떻게 대응했는지, 나아가 무슨 근거로 북한과 연락 채널이 없다고 했는지에 대해 명백히 밝혀달라고 요청했다. 
 
이씨는 정부가 동생을 월북으로 단정하는 것에 대해 “엄연히 실종자의 신분이며 그 명예는 국가가 책임지고 지켜주고 명확히 밝혀질 때까지 예우를 다해주길 바란다”며 “나의 삶과 동생의 온전한 생, 그리고 가족들의 고통을 과거 28일 전으로 되돌려 달라”고 호소했다. 
 
또 국방부가 실시간 감청이 아닌 조각 첩보를 바탕으로 월북으로 단정 지어버린 이유에 대해 의문을 던졌다. 그는 “첩보를 입수했다면서 적대 국가인 북한의 내용은 고스란히 믿고 해군과 해경 수색에 협조를 안 하고 도대체 누구와 상의하고 보고했는지 그 진실을 밝혀야 할 것”이라고 말했다. 이에 하태경 국민의힘 의원도 “정보도 아닌 조각첩보, 도청, 감청은 법원 증거도 안 된다. 그런 내용으로 월북이라며 ‘명예 살인’을 가한 것”이라고 지적했다. 
 
수색에 직접 참여했던 이씨는 해경을 향해 “수사기관의 기본도 망각한 채 서둘러서 중간보고와 명예훼손을 심각하게 초래하면서 발표를 서두른 이유를 밝혀달라”고 요구했다. 그는 “월북으로 단정해 발표하려면 최소한 같은 조건 같은 시간대에 정확한 복수의 실험을 통해 실제 생존 움직임까지 정확하게 테스트하고 발표와 수사 자료로 삼아야 하지 않느냐”고 꼬집었다. 
 
한편 이날 신중근 연평도 어촌계장은 실종 공무원에 대해 “연평바다를 잘 모르는 분 같다”며 실족 가능성에 힘을 실었다. 그는 “실종 전날인 20일부터 서풍이 불고 유속이 마이너스 18로 굉장히 빨랐다”며 “한번 떨어지면 100m 이상 흘러간다”고 설명했다. /김혜린기자 rin@sedaily.com",2020-10-18T22:09:45.000+09:00,서울경제,"['정치>북한', '정치>국회_정당', '정치>행정_자치']",/02100311/2020/10/18/02100311.20201018165719001.01.jpg
7,02100601.20201018165655001,"이재용, 이번엔 베트남行…글로벌 경영 '광폭 행보'","삼성전자 전세기에 다시 시동이 걸린다. 이번 목적지는 베트남이다. 이재용 삼성전자 부회장(사진)이 네덜란드·스위스 출장에서 귀국한 지 1주일 만에 글로벌 현장 경영을 재개하면서다. 이번 출장을 계기로 삼성전자의 글로벌 공급망 재편이 힘을 받을 것이란 전망이 나온다. 
 
18일 산업계에 따르면 이 부회장은 19일 베트남 출장길에 오른다. 2018년 이후 2년 만이다. 이 부회장은 지난 2월 베트남 하노이의 삼성전자 연구개발(R&D)센터 기공식에 참석할 예정이었지만 신종 코로나바이러스 감염증(코로나19) 확산으로 행사가 취소돼 방문하지 못했다. 
 
코로나19 방역으로 인한 입국 제한도 걸림돌이었지만 지난달 한국과 베트남 정부가 기업인의 경우 자가격리 없이 오갈 수 있도록 입국절차 간소화(패스트트랙)에 합의하면서 출장길이 열렸다. 이 부회장은 지난달 기업인 특별입국절차를 신청한 것으로 알려졌다. 
 
이 부회장은 이번 출장에서 하노이에 건설 중인 R&D센터와 박닌성 스마트폰 공장 등을 점검할 예정인 것으로 전해졌다. 베트남 정부 고위관계자들과의 만남도 추진하고 있다. 베트남 정부는 삼성에 법인세 면제 등 전폭적인 지원을 펼치겠다며 반도체 등 첨단 제품 생산기지를 건설해달라고 요청해왔다. 이번 만남이 성사되면 베트남 사업 협력방안이 테이블 위에 오를 것이라는 관측이 나온다. 
 
이번 출장 이후 삼성SDI 배터리 공장 등 전략 사업장을 베트남에 신설할 수 있다는 예상도 나온다. 베트남은 삼성전자의 휴대폰과 태블릿 제조의 50% 이상을 담당하는 주요 생산거점이다. 베트남 생산법인 세 곳에서 지난해 올린 매출만 60조1170억원에 달했다. 베트남 전체 수출의 4분의 1을 삼성이 담당한다. 
 
전자업계에서는 삼성이 중국 중심이던 생산기지를 베트남으로 이전하는 방식으로 공급망을 재편하고 있다고 분석했다. 일본의 닛케이아시안리뷰는 “삼성전자가 중국 톈진에 있는 TV공장, 쑤저우 컴퓨터공장 등을 베트남으로 옮기는 방안을 검토 중”이라고 전했다. 삼성전자는 중국 내 스마트폰 공장 세 곳도 베트남과 인도로 이전했다. 
 
이수빈 기자 lsb@hankyung.com",2020-10-19T00:48:15.000+09:00,한국경제,"['경제>반도체', '경제>유통', '경제>무역']",/02100601/2020/10/18/02100601.20201018165655001.01.jpg
8,02100601.20201018165444003,"[속보] 정부 ""코로나 확진 해외건설 근로자 13개국 195명""","정부 ""코로나 확진 해외건설 근로자 13개국 195명"" 
 
한경닷컴 뉴스룸 open@hankyung.com",2020-10-18T16:54:44.000+09:00,한국경제,"['사회>여성', '경제>무역', '사회>노동_복지']",/02100601/2020/10/18/02100601.20201018165444003.01.jpg
9,02100601.20201018164922001,"'자녀 입양' 김미애 의원 ""아기 거래글, 처음엔 충격이었지만…""","자녀를 입양해 키우고 있는 김미애 국민의힘 의원(사진)이 중고거래 애플리케이션(앱)에 아기를 거래한다는 글이 올라와 논란이 인 것과 관련해 “아이 엄마와 함께 하겠다. 힘내시라”며 응원했다. 
 
앞선 16일 오후 중고거래 앱 ‘당근마켓’ 서귀포 지역 카테고리엔 20만원에 생후 36주 아이를 거래(입양)하겠다는 글이 게시됐다. 아이 아빠 없이 혼자 아이를 키우기 어려운 20대 여성 미혼모가 충동적으로 이같은 판매글을 올렸다가 이내 잘못된 행동임을 깨닫고 게시글을 삭제한 것으로 알려졌다. 
 
김미애 의원은 18일 페이스북에 글을 올려 “처음엔 충격이었다. 장난이든 사실이든 존귀한 생명을 거래한다는 발상 자체가 슬픔과 경악이었다”고 입을 뗀 뒤 이후 언론 보도로 확인된 전후 사정을 언급하며 “마음이 복잡하다. 여러 가지 의문과 아쉬움이 남는다”고 썼다. 
 
그는 “27세 여성이 임신 사실도 모른 채 출산이 임박해 알게 됐고 미혼모 쉼터에 입소, 출산 후 중고거래 사이트에 20만원에 아기 거래 글을 올렸다는 것”이라며 해당 미혼모가 △만삭까지 어떻게 지냈을지 △치료와 상담이 제대로 이뤄졌는지 △합법적 입양절차를 몰랐거나 제대로 안내받지 못했는지 등을 짚었다. 
 
이어 “현행 제도의 전반적 문제점을 검토해야 한다. 지난번 (인천)라면 형제 화재 사건과 같이 우리 사회의 어두운 면에 대해 일반적 상식으로만 접근하면 해결하지 못할 사건이 많다”고 강조했다. 
 
김미애 의원은 “변호사 시절에 남자가 외면한 상황에서 어찌할 바 몰라 상담하러 온 경우를 여러 번 경험했다. 출산해 홀로 키우는 경우도, 낙태한 경우도 봤다”고 술회하며 “출산 후 인지청구, 친권자 및 양육자 지정과 양육비 청구, 이후 양육비 추심까지 모두 갓난아기를 키우는 여성의 몫으로 남겨졌다”고 지적했다. 
 
그는 “홀로 아이를 키우는 건 가히 상상하기 어려운 일이다. 집도 직장도 보조 양육자도 없는 경우는 쉼터에서라도 안정적으로 자립할 때까지 지원이 이뤄져야 한다”면서 “여의치 않아 입양을 보내기로 결심했다면 그 절차를 도와줘야 한다. 이것은 감정의 문제가 아니라 생존의 문제”라고 역설했다. 
 
또 아기 엄마를 향해서는 “어려운 환경에서 아기를 낳고, 그래도 생명을 살린 것, 누군가에 의해 아이가 자라도록 마음먹은 점에 대해 감사드린다”며 “아이를 키우고 싶거나 입양 보내고 싶다면 충분히 상담받고 합법적 절차를 밟길 바란다. 제가 최선을 다해 돕겠다”고 덧붙였다. 
 
김봉구 한경닷컴 기자 kbk9@hankyung.com",2020-10-18T22:15:58.000+09:00,한국경제,"['사회>여성', '사회>교육_시험', '사회>미디어']",/02100601/2020/10/18/02100601.20201018164922001.01.jpg
